name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","ratio"
"BM_do_with_ref/64_stddev",25,6.03119,5.93255,ns,,,,,,0,0
"BM_do_with_ref/16_mean",25,86.2585,86.2863,ns,,,,,,560000,16
"BM_do_with_ref/16_median",25,82.694,83.7054,ns,,,,,,560000,16
"BM_do_with_ref/16_stddev",25,8.28816,8.31952,ns,,,,,,0,0
"BM_do_with_ref/8_mean",25,82.1749,81.9615,ns,,,,,,1.12e+06,8
"BM_do_with_ref/8_median",25,80.0531,80.2176,ns,,,,,,1.12e+06,8
"BM_do_with_ref/8_stddev",25,5.82635,5.89226,ns,,,,,,0,0
"BM_do_with_ref/4_mean",25,75.3692,75.279,ns,,,,,,2.8e+06,4
"BM_do_with_ref/4_median",25,73.9779,73.9397,ns,,,,,,2.8e+06,4
"BM_do_with_ref/4_stddev",25,6.54575,6.51224,ns,,,,,,0,0
"BM_do_with_ref/2_mean",25,58.3216,58.0078,ns,,,,,,3.73333e+06,2
"BM_do_with_ref/2_median",25,53.8346,54.4085,ns,,,,,,3.73333e+06,2
"BM_do_with_ref/2_stddev",25,9.37341,8.90948,ns,,,,,,0,0
"BM_do_with_tuple/2048_mean",25,90.5251,90.4018,ns,,,,,,3645,2048
"BM_do_with_tuple/2048_median",25,88.9316,87.8906,ns,,,,,,3645,2048
"BM_do_with_tuple/2048_stddev",25,5.13229,5.12589,ns,,,,,,0,0
"BM_do_with_tuple/1024_mean",25,92.336,92.0759,ns,,,,,,7291,1024
"BM_do_with_tuple/1024_median",25,89.0494,89.9833,ns,,,,,,7291,1024
"BM_do_with_tuple/1024_stddev",25,9.2085,9.10155,ns,,,,,,0,0
"BM_do_with_tuple/512_mean",25,89.0412,88.8951,ns,,,,,,14583,512
"BM_do_with_tuple/512_median",25,86.6501,85.798,ns,,,,,,14583,512
"BM_do_with_tuple/512_stddev",25,5.99983,5.67074,ns,,,,,,0,0
"BM_do_with_tuple/256_mean",25,90.222,90.1507,ns,,,,,,29166,256
"BM_do_with_tuple/256_median",25,88.2517,89.9833,ns,,,,,,29166,256
"BM_do_with_tuple/256_stddev",25,6.83632,6.77876,ns,,,,,,0,0
"BM_do_with_tuple/128_mean",25,89.0787,88.9788,ns,,,,,,58333,128
"BM_do_with_tuple/128_median",25,87.6869,87.8906,ns,,,,,,58333,128
"BM_do_with_tuple/128_stddev",25,4.76518,4.64483,ns,,,,,,0,0
"BM_do_with_tuple/64_mean",25,87.5057,87.4721,ns,,,,,,140000,64
"BM_do_with_tuple/64_median",25,84.6655,85.4492,ns,,,,,,140000,64
"BM_do_with_tuple/64_stddev",25,4.36343,4.23223,ns,,,,,,0,0
"BM_do_with_tuple/16_mean",25,92.5979,92.4944,ns,,,,,,560000,16
"BM_do_with_tuple/16_median",25,89.0123,88.9369,ns,,,,,,560000,16
"BM_do_with_tuple/16_stddev",25,9.3655,9.55789,ns,,,,,,0,0
"BM_do_with_tuple/8_mean",25,86.7979,86.5653,ns,,,,,,1.12e+06,8
"BM_do_with_tuple/8_median",25,85.1555,85.4492,ns,,,,,,1.12e+06,8
"BM_do_with_tuple/8_stddev",25,9.0073,8.84741,ns,,,,,,0,0
"BM_do_with_tuple/4_mean",25,75.0428,74.8465,ns,,,,,,2.24e+06,4
"BM_do_with_tuple/4_median",25,72.6289,73.2422,ns,,,,,,2.24e+06,4
"BM_do_with_tuple/4_stddev",25,7.51586,7.61664,ns,,,,,,0,0
"BM_do_with_tuple/2_mean",25,59.7105,59.4375,ns,,,,,,5e+06,2
"BM_do_with_tuple/2_median",25,58.692,57.8125,ns,,,,,,5e+06,2
"BM_do_with_tuple/2_stddev",25,5.92475,6.43414,ns,,,,,,0,0
"BM_do_with_expected/2048_mean",25,96.2175,95.7729,ns,,,,,,4375,2048
"BM_do_with_expected/2048_median",25,94.5956,94.1685,ns,,,,,,4375,2048
"BM_do_with_expected/2048_stddev",25,8.69631,8.42245,ns,,,,,,0,0
"BM_do_with_expected/1024_mean",25,95.4004,94.9219,ns,,,,,,7291,1024
"BM_do_with_expected/1024_median",25,91.9368,92.0759,ns,,,,,,7291,1024
"BM_do_with_expected/1024_stddev",25,10.2425,10.2318,ns,,,,,,0,0
"BM_do_with_expected/512_mean",25,96.8036,96.1775,ns,,,,,,14583,512
"BM_do_with_expected/512_median",25,92.3707,92.0759,ns,,,,,,14583,512
"BM_do_with_expected/512_stddev",25,11.7064,11.7988,ns,,,,,,0,0
"BM_do_with_expected/256_mean",25,93.1286,93.1222,ns,,,,,,35000,256
"BM_do_with_expected/256_median",25,90.6307,90.6808,ns,,,,,,35000,256
"BM_do_with_expected/256_stddev",25,7.06338,6.99359,ns,,,,,,0,0
"BM_do_with_expected/128_mean",25,98.8257,98.7026,ns,,,,,,70000,128
"BM_do_with_expected/128_median",25,98.289,97.6562,ns,,,,,,70000,128
"BM_do_with_expected/128_stddev",25,10.3824,10.2799,ns,,,,,,0,0
"BM_do_with_expected/64_mean",25,94.887,94.5871,ns,,,,,,140000,64
"BM_do_with_expected/64_median",25,95.2202,95.9124,ns,,,,,,140000,64
"BM_do_with_expected/64_stddev",25,6.9056,6.79659,ns,,,,,,0,0
"BM_do_with_expected/16_mean",25,84.8171,84.6122,ns,,,,,,560000,16
"BM_do_with_expected/16_median",25,82.1906,81.9615,ns,,,,,,560000,16
"BM_do_with_expected/16_stddev",25,6.30299,6.46876,ns,,,,,,0,0
"BM_do_with_expected/8_mean",25,82.296,82.1708,ns,,,,,,1.12e+06,8
"BM_do_with_expected/8_median",25,79.4107,80.2176,ns,,,,,,1.12e+06,8
"BM_do_with_expected/8_stddev",25,6.14089,5.70254,ns,,,,,,0,0
"BM_do_with_expected/4_mean",25,73.4695,73.1027,ns,,,,,,2.24e+06,4
"BM_do_with_expected/4_median",25,73.4338,73.2422,ns,,,,,,2.24e+06,4
"BM_do_with_expected/4_stddev",25,5.65271,5.32568,ns,,,,,,0,0
"BM_do_with_expected/2_mean",25,53.4511,53.2924,ns,,,,,,5.6e+06,2
"BM_do_with_expected/2_median",25,52.5952,53.0134,ns,,,,,,5.6e+06,2
"BM_do_with_expected/2_stddev",25,3.71761,3.44091,ns,,,,,,0,0
