name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","ratio"
"BM_do_with_ref/64_stddev",25,10.3627,10.1524,ns,,,,,,0,0
"BM_do_with_ref/16_mean",25,93.4566,93.1641,ns,,,,,,400000,16
"BM_do_with_ref/16_median",25,89.9665,87.8906,ns,,,,,,400000,16
"BM_do_with_ref/16_stddev",25,12.0777,11.9745,ns,,,,,,0,0
"BM_do_with_ref/8_mean",25,79.8595,79.7991,ns,,,,,,1.12e+06,8
"BM_do_with_ref/8_median",25,74.4165,73.2422,ns,,,,,,1.12e+06,8
"BM_do_with_ref/8_stddev",25,13.6247,13.2931,ns,,,,,,0,0
"BM_do_with_ref/4_mean",25,69.518,69.4196,ns,,,,,,2.8e+06,4
"BM_do_with_ref/4_median",25,67.648,68.3594,ns,,,,,,2.8e+06,4
"BM_do_with_ref/4_stddev",25,5.39434,5.25525,ns,,,,,,0,0
"BM_do_with_ref/2_mean",25,58.1462,58,ns,,,,,,5e+06,2
"BM_do_with_ref/2_median",25,57.3781,57.8125,ns,,,,,,5e+06,2
"BM_do_with_ref/2_stddev",25,7.35278,6.97781,ns,,,,,,0,0
"BM_do_with_tuple/2048_mean",25,97.1966,96.8471,ns,,,,,,3645,2048
"BM_do_with_tuple/2048_median",25,91.3826,92.0759,ns,,,,,,3645,2048
"BM_do_with_tuple/2048_stddev",25,15.8764,15.7008,ns,,,,,,0,0
"BM_do_with_tuple/1024_mean",25,88.871,88.7875,ns,,,,,,8166,1024
"BM_do_with_tuple/1024_median",25,84.634,85.9475,ns,,,,,,8166,1024
"BM_do_with_tuple/1024_stddev",25,8.43416,8.16425,ns,,,,,,0,0
"BM_do_with_tuple/512_mean",25,96.8295,96.2612,ns,,,,,,14583,512
"BM_do_with_tuple/512_median",25,91.9611,92.0759,ns,,,,,,14583,512
"BM_do_with_tuple/512_stddev",25,16.028,15.5898,ns,,,,,,0,0
"BM_do_with_tuple/256_mean",25,92.69,92.4944,ns,,,,,,35000,256
"BM_do_with_tuple/256_median",25,91.2933,90.6808,ns,,,,,,35000,256
"BM_do_with_tuple/256_stddev",25,11.584,11.4184,ns,,,,,,0,0
"BM_do_with_tuple/128_mean",25,100.699,100.446,ns,,,,,,70000,128
"BM_do_with_tuple/128_median",25,95.2238,95.9124,ns,,,,,,70000,128
"BM_do_with_tuple/128_stddev",25,15.9004,15.7028,ns,,,,,,0,0
"BM_do_with_tuple/64_mean",25,96.0227,95.3849,ns,,,,,,134017,64
"BM_do_with_tuple/64_median",25,94.4329,91.0856,ns,,,,,,134017,64
"BM_do_with_tuple/64_stddev",25,15.1282,14.7517,ns,,,,,,0,0
"BM_do_with_tuple/16_mean",25,96.4119,95.6334,ns,,,,,,560000,16
"BM_do_with_tuple/16_median",25,90.4279,90.6808,ns,,,,,,560000,16
"BM_do_with_tuple/16_stddev",25,14.7846,14.6827,ns,,,,,,0,0
"BM_do_with_tuple/8_mean",25,90.2851,89.8995,ns,,,,,,933333,8
"BM_do_with_tuple/8_median",25,85.2598,85.798,ns,,,,,,933333,8
"BM_do_with_tuple/8_stddev",25,15.4287,15.3239,ns,,,,,,0,0
"BM_do_with_tuple/4_mean",25,71.8668,71.7076,ns,,,,,,2.8e+06,4
"BM_do_with_tuple/4_median",25,69.0809,68.3594,ns,,,,,,2.8e+06,4
"BM_do_with_tuple/4_stddev",25,8.59734,8.46686,ns,,,,,,0,0
"BM_do_with_tuple/2_mean",25,57.9806,57.6875,ns,,,,,,5e+06,2
"BM_do_with_tuple/2_median",25,54.3254,53.125,ns,,,,,,5e+06,2
"BM_do_with_tuple/2_stddev",25,10.4989,10.3145,ns,,,,,,0,0
"BM_do_with_expected/2048_mean",25,104.844,104.353,ns,,,,,,4375,2048
"BM_do_with_expected/2048_median",25,99.8613,97.6562,ns,,,,,,4375,2048
"BM_do_with_expected/2048_stddev",25,18.8057,18.1345,ns,,,,,,0,0
"BM_do_with_expected/1024_mean",25,104.595,104.046,ns,,,,,,7291,1024
"BM_do_with_expected/1024_median",25,100.88,98.3538,ns,,,,,,7291,1024
